date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,XOM,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIA,SPY
2010-07-29 00:00:00+00:00,60.4571250255,37.1889871525,40.0323581011,7.8468906131,52.9711339506,49.7876851448,46.3043953659,16.3615097284,18.7058732034,29.3654773171,,37.0809658324,124.7890960565,20.9714210503,31.2743229182,79.2725890976,14.3558844929,40.2636784893,28.730272419,48.8511573032,21.8695495566,20.0997472869,15.9004327856,42.4664546247,24.4475,37.3600486509,25.2345409453,16.0547302682,16.4305490294,20.1276903246,38.4077049384,79.2144335087,86.7862226813
2010-07-30 00:00:00+00:00,59.8969478189,37.2557537363,40.9024636922,7.8207454582,53.6961182296,50.038775776,46.4201258989,16.2628190191,18.7466934395,29.348054904,,36.6753735644,123.3496622575,21.3153374027,31.3768136769,79.5078928303,14.0623500026,40.4447014256,28.7802878149,49.097595831,21.4952845899,19.9298685162,15.9242196428,42.1152645508,24.7375,37.3082829461,25.2428308733,16.1547943765,16.7432727328,20.2911567361,38.5054918879,79.2371375596,86.7704848587
2010-08-02 00:00:00+00:00,61.2063620394,37.5478575402,41.1574946413,7.9605916355,54.9175591344,50.9713981202,47.3886077278,16.7774205746,19.1889126642,30.0362402223,,38.0642198154,124.9199536746,21.7714003917,32.0137205341,80.9692528542,14.4378010949,40.8833339252,29.7520155068,49.4637330722,21.8757873061,20.3314001562,16.0712656688,42.73501174,25.4775,37.6040869735,26.063533749,16.4327502329,16.4876153987,20.7033763826,38.6709774947,80.7734450022,88.7298437713
2010-08-03 00:00:00+00:00,61.0663177377,37.2223704444,41.037480077,7.9630237429,54.7993551759,50.483564894,47.9124406667,16.7915192473,19.1787076052,29.8010376451,,38.543556132,125.2879907255,21.270478748,31.5817951941,80.7277569181,14.246662357,41.3219664247,29.3518923395,49.6045550881,21.71984357,20.2001301969,15.8074477986,41.2751628053,25.2525,37.0642446236,26.8759466967,16.4216319987,16.6633798159,20.4830520888,38.5807126183,80.5161324256,88.3049225614
2010-08-04 00:00:00+00:00,61.6194927293,36.8134251189,41.8250756552,7.994945153,54.9017986066,51.0216162464,48.1317195714,17.0170980113,19.236536273,30.3411324519,,38.543556132,127.9215002897,21.472342694,32.1967397459,81.2850552323,14.2586085281,41.5935008292,29.5019385272,49.7735415071,21.9506402994,19.8680944177,16.0020675389,41.0066056899,25.89,37.4783702618,27.2821531705,16.3438043589,16.5378338036,20.2556205597,38.8138968825,80.9475093923,88.8950909086
2010-08-05 00:00:00+00:00,61.423430707,36.0706468746,41.4950356034,7.9560314341,54.4736834983,51.6242337611,48.1621749748,17.0382460205,19.1753059188,30.4718005503,,38.5374107947,127.5207488343,21.4648662515,32.2992305045,81.6318186278,14.2173390389,41.6074256704,29.4876484141,49.6045550881,21.8757873061,19.5901109746,16.0150421883,41.2200741663,25.6725,37.4709751612,27.7049395004,16.4271911158,16.3209816005,20.0352962659,38.8289410286,80.8869652566,88.800663973
2010-08-06 00:00:00+00:00,61.1223354584,36.3043299177,41.96009204,7.9071156733,54.4657554408,51.3372730398,47.9550782315,16.9677526567,19.3045699999,30.4892229634,,38.0826558275,126.9155323506,21.4424369242,32.0430036079,80.9878294647,14.2035825425,41.746674083,28.8946087198,50.5128570904,21.8196475611,19.7291026962,15.9934177727,41.3302514443,25.5825,37.1751711338,27.7298092845,16.4271911158,16.4670715058,19.9002587955,38.9568162702,80.7431729344,88.4386940534
2010-08-09 00:00:00+00:00,61.6404993745,36.512975492,41.7500665525,7.9575515012,54.69566911,51.7031479595,48.2961787498,17.461206203,19.4270307083,30.6286022684,,38.3776320224,127.0954615754,21.4573898091,32.1308528296,82.1453318683,14.2035825425,41.8093358686,28.4516152132,51.343706984,22.05668204,19.77543327,16.0280168376,41.5781503201,26.015,37.4266045571,27.7629689966,16.5995237468,17.0605617458,20.1490120304,39.1599122423,81.0685976636,88.9108287311
2010-08-10 00:00:00+00:00,60.9962955869,36.7967334729,41.7950720141,7.8864123588,54.4023309803,51.2368367874,48.1439017327,17.1369367297,19.3828087858,30.7418479537,,38.058074478,125.8686714058,21.1134734567,31.7867767114,82.0457617691,13.6326879415,41.3776657897,27.987186537,51.2873781777,22.3124297673,19.3584581054,15.9826055649,41.8535935153,25.4125,36.5317973744,27.630330148,16.6884696209,17.1815424485,20.0566179717,39.2802654109,80.7204688835,88.4308251421
2010-08-11 00:00:00+00:00,58.888628847,35.8536554774,40.2723872297,7.6061119774,52.008057597,49.2926779006,46.9805053219,16.7280752199,19.0630502695,29.8097488517,,37.3820873647,122.0656218799,20.7172220073,30.6081329872,80.7949123975,13.3609971374,40.7301606714,26.9868786189,50.3931583769,21.7635078161,19.1963010969,15.5868787595,41.5024034414,24.4775,36.2064129444,26.5194797911,16.4327502329,16.8083283938,19.7083634428,38.6051593556,78.8057605929,86.007200463
2010-08-12 00:00:00+00:00,58.8256089112,35.1776438168,41.0674837181,7.654754126,51.2945324166,48.4246217187,46.9439588378,15.0573824989,18.9439912475,29.6093911008,,37.28304557,122.2046580991,20.6424575829,30.2274530266,79.8427733235,13.3781927579,40.7440855126,27.0154588451,50.7381723158,21.8570740578,18.9105958916,15.4657820322,41.3095932047,24.2375,36.7018846901,26.6355387836,16.8552431347,16.6871419695,19.9215805013,38.1587257214,78.2911354397,85.4799834062
2010-08-13 00:00:00+00:00,58.8256089112,34.8271192521,41.2700082954,7.5729745137,51.4055252224,48.7904966383,47.1449645004,15.0573824989,18.9575979928,29.3393436974,,37.0849619807,121.1087255476,20.4181643096,30.249415332,79.5751786818,13.1718453118,40.4864759494,26.7939620918,50.6184736023,21.83212306,18.8411000308,15.2625125257,41.1925298467,24.31,37.079034825,26.5526395032,16.694028738,16.5133652101,20.0210817953,38.1360257061,78.2154552701,85.2281782447
2010-08-16 00:00:00+00:00,58.4194804364,34.6685486157,40.5649227302,7.528588553,51.0566906898,49.1348495039,47.3337880016,15.4450959995,19.008623288,29.3219212843,,37.0663916443,120.8470103114,20.4704994067,30.1469245733,79.5129473698,13.3919492543,40.3890020606,26.9297181664,50.5480625944,21.8134098116,18.9183176539,15.3663097205,41.1580994473,24.1575,36.9089475092,26.4448704387,16.6551149181,16.6528439249,20.0352962659,38.1435923778,78.1624791514,85.1888336882
2010-08-17 00:00:00+00:00,58.8816266319,34.8354650751,40.4711613518,7.6602263677,52.3172518419,50.0316017579,47.8088922951,15.5437867088,19.0902637602,29.4090333499,,37.6482621878,121.5258342052,21.1658085538,31.0327375586,79.9361202916,13.4332187435,41.2314549566,26.7796719787,51.5549400078,22.16896153,19.1808575723,15.5068684219,41.5161756011,24.8325,36.9089475092,26.8179172004,16.7718563778,16.7740303492,20.1809945892,38.6051593556,78.9571209321,86.2353988906
2010-08-18 00:00:00+00:00,58.9131365997,34.7937359602,40.6099281918,7.6936678449,52.3251798994,50.038775776,47.3601268151,15.7975628183,18.9950165426,29.5397014483,,37.2335246727,122.0247288742,21.5770128882,31.0858131301,80.5226504074,13.4744882328,41.3219664247,27.0726192976,51.5760633102,22.0629197895,19.2662438262,15.6214778245,41.8329352756,24.8325,37.0346642209,26.9754258331,16.7607381435,16.6642766064,20.17384328,38.4840926074,79.1387533391,86.3927771165
